indicator,section,n_recordings,human_fleiss_kappa,human_alpha_ordinal,human_gwet_ac2_ordinal,human_pairwise_exact,prev_no,prev_partial,prev_yes,human_pairwise_kappa
SI1,B,100,0.026,0.038,0.615,0.523,0.07,0.236,0.694,-0.077
SI2,B,100,0.141,0.142,0.478,0.483,0.112,0.357,0.531,0.058
SI3,B,100,-0.024,-0.088,0.829,0.72,0.027,0.124,0.849,-0.128
MA-0,B,100,0.121,0.254,0.398,0.44,0.182,0.434,0.384,0.121
PIA-1,B,100,0.118,0.195,0.304,0.483,0.24,0.186,0.574,0.012
PIA-2,B,100,0.132,0.229,0.624,0.6,0.124,0.205,0.671,0.3
PIA-3,B,100,0.021,0.045,0.217,0.413,0.492,0.318,0.19,-0.007
PIA-4,B,100,0.01,0.183,0.321,0.42,0.209,0.337,0.453,0.117
PIA-5,B,100,0.008,0.124,0.256,0.37,0.24,0.419,0.341,0.102
PIC-1,B,100,0.119,0.139,0.491,0.47,0.105,0.318,0.578,0.18
PIC-2,B,100,0.085,0.04,0.785,0.643,0.035,0.186,0.779,-0.009
PIC-3,B,100,0.069,0.112,0.43,0.447,0.132,0.368,0.5,0.007
PIC-4,B,100,0.025,0.053,0.333,0.407,0.163,0.442,0.395,-0.037
PIC-5,B,100,0.064,0.146,0.392,0.433,0.167,0.461,0.372,0.074
L1,C,20,-0.089,0.078,-0.033,0.3,0.413,0.217,0.37,-0.2
L2,C,36,0.117,0.197,0.309,0.426,0.226,0.405,0.369,0.141
L3,C,38,0.068,0.168,0.359,0.421,0.193,0.42,0.386,-0.043
M1,C,24,0.021,0.225,0.273,0.458,0.371,0.355,0.274,0.187
M2,C,23,0.169,0.043,0.148,0.406,0.367,0.367,0.267,-0.072
S1,C,25,0.091,0.157,0.224,0.44,0.262,0.277,0.462,
S2,C,25,0.23,0.332,0.343,0.533,0.308,0.338,0.354,
