model,indicator,section,n,kappa,weighted_kappa,weighted_kappa_quadratic,exact_agreement,ai_minus_human_mean
deepseek-ai/deepseek-v4-pro,SI1,B,55,0.013,0.045,0.073,0.309,-0.891
deepseek-ai/deepseek-v4-pro,SI2,B,55,0.293,0.315,0.346,0.6,-0.218
deepseek-ai/deepseek-v4-pro,SI3,B,55,-0.044,-0.02,-0.001,0.073,-1.291
deepseek-ai/deepseek-v4-pro,MA-0,B,55,0.089,0.119,0.155,0.418,-0.218
deepseek-ai/deepseek-v4-pro,PIA-1,B,55,0.038,0.098,0.147,0.327,-0.673
deepseek-ai/deepseek-v4-pro,PIA-2,B,55,0.062,0.058,0.055,0.436,-0.691
deepseek-ai/deepseek-v4-pro,PIA-3,B,55,0.029,0.036,0.043,0.364,-0.673
deepseek-ai/deepseek-v4-pro,PIA-4,B,54,-0.056,-0.041,-0.029,0.111,-1.259
deepseek-ai/deepseek-v4-pro,PIA-5,B,55,-0.045,0.024,0.085,0.2,-0.873
deepseek-ai/deepseek-v4-pro,PIC-1,B,55,-0.012,0.051,0.112,0.309,-0.691
deepseek-ai/deepseek-v4-pro,PIC-2,B,55,0.029,0.012,-0.008,0.255,-0.891
deepseek-ai/deepseek-v4-pro,PIC-3,B,55,0.071,0.05,0.03,0.255,-1.018
deepseek-ai/deepseek-v4-pro,PIC-4,B,55,-0.024,-0.027,-0.03,0.145,-1.164
deepseek-ai/deepseek-v4-pro,PIC-5,B,55,0.034,0.031,0.028,0.291,-0.818
deepseek-ai/deepseek-v4-pro,L2,C,22,0.051,0.012,-0.014,0.227,-1.318
deepseek-ai/deepseek-v4-pro,L3,C,20,-0.087,-0.015,0.048,0.25,-0.8
deepseek-ai/deepseek-v4-pro,S1,C,17,-0.1,-0.076,-0.059,0.235,-0.706
deepseek-ai/deepseek-v4-pro,S2,C,18,0.189,0.317,0.451,0.444,-0.389
gpt-5.1,SI1,B,100,0.128,0.123,0.117,0.54,-0.36
gpt-5.1,SI2,B,100,0.165,0.195,0.241,0.61,0.33
gpt-5.1,SI3,B,100,0.001,0.007,0.012,0.1,-1.25
gpt-5.1,MA-0,B,100,0.172,0.176,0.183,0.51,0.49
gpt-5.1,PIA-1,B,100,0.177,0.207,0.237,0.52,-0.08
gpt-5.1,PIA-2,B,100,0.323,0.373,0.42,0.75,0.1
gpt-5.1,PIA-3,B,100,-0.022,-0.004,0.015,0.3,0.35
gpt-5.1,PIA-4,B,99,0.015,0.001,-0.011,0.232,-0.606
gpt-5.1,PIA-5,B,100,0.071,0.112,0.166,0.44,-0.33
gpt-5.1,PIC-1,B,100,0.12,0.118,0.114,0.56,0.1
gpt-5.1,PIC-2,B,100,-0.012,-0.002,0.017,0.37,-0.5
gpt-5.1,PIC-3,B,100,0.137,0.203,0.279,0.49,-0.19
gpt-5.1,PIC-4,B,100,0.1,0.111,0.129,0.51,0.05
gpt-5.1,PIC-5,B,100,0.193,0.218,0.257,0.54,-0.17
gpt-5.1,L2,C,49,-0.0,0.026,0.047,0.122,-1.286
gpt-5.1,L3,C,49,0.103,0.157,0.206,0.306,-0.918
gpt-5.1,L1,C,20,0.191,0.227,0.262,0.45,-0.6
gpt-5.1,M1,C,25,-0.07,0.052,0.228,0.36,-0.24
gpt-5.1,M2,C,25,-0.164,-0.04,0.106,0.24,0.28
gpt-5.1,S1,C,25,0.223,0.345,0.502,0.52,0.08
gpt-5.1,S2,C,25,0.25,0.286,0.323,0.52,0.2
minimaxai/minimax-m2.7,SI1,B,95,0.031,0.065,0.096,0.442,-0.653
minimaxai/minimax-m2.7,SI2,B,95,0.089,0.094,0.103,0.558,0.147
minimaxai/minimax-m2.7,SI3,B,95,0.141,0.083,0.03,0.758,-0.295
minimaxai/minimax-m2.7,MA-0,B,95,0.117,0.156,0.206,0.442,0.105
minimaxai/minimax-m2.7,PIA-1,B,95,0.013,0.09,0.158,0.389,-0.316
minimaxai/minimax-m2.7,PIA-2,B,95,0.141,0.183,0.217,0.611,-0.211
minimaxai/minimax-m2.7,PIA-3,B,94,0.058,0.106,0.153,0.372,-0.074
minimaxai/minimax-m2.7,PIA-4,B,72,0.054,0.018,-0.013,0.319,-0.611
minimaxai/minimax-m2.7,PIA-5,B,95,0.053,0.106,0.157,0.305,-0.611
minimaxai/minimax-m2.7,PIC-1,B,95,0.151,0.149,0.148,0.579,-0.053
minimaxai/minimax-m2.7,PIC-2,B,95,0.033,0.049,0.063,0.589,-0.421
minimaxai/minimax-m2.7,PIC-3,B,95,0.101,0.118,0.132,0.368,-0.653
minimaxai/minimax-m2.7,PIC-4,B,95,0.068,0.085,0.103,0.337,-0.484
minimaxai/minimax-m2.7,PIC-5,B,95,0.075,0.083,0.093,0.337,-0.432
minimaxai/minimax-m2.7,L2,C,47,0.003,0.004,0.004,0.149,-1.17
minimaxai/minimax-m2.7,L3,C,47,0.012,0.044,0.068,0.213,-1.064
minimaxai/minimax-m2.7,L1,C,27,0.027,0.094,0.147,0.296,-0.926
minimaxai/minimax-m2.7,M1,C,22,0.0,0.048,0.095,0.364,-0.727
minimaxai/minimax-m2.7,M2,C,22,0.071,0.037,0.006,0.409,-0.864
minimaxai/minimax-m2.7,S1,C,24,0.034,0.044,0.053,0.25,-1.125
minimaxai/minimax-m2.7,S2,C,24,0.126,0.143,0.156,0.375,-0.75
